date,text,user
2020-02-07 20:32:45+00:00,"move over resistance(tax exempt) useful tools. fair share malarkeymoneytax, for global common good+pockets of malarkey peddlers gender hot flash equality,hormone treatment,paid leave+ more.billed to""we the people"" stuck with payin ",MnStand
2020-01-21 13:05:09+00:00,"the original meaning of ‘priority’ was singular -- the very first thing. at eventide, their investing priority is to own businesses that advance the global common good. read more about what it looks like to have a single priority in your investments: ",realFDI1
2020-01-15 09:24:40+00:00,".@hmohib: as the frontline state on war on terror, our success produces for the global common good. let there be no confusion about one thing, there is also a steely resolve against violence.",orfonline
2020-01-13 11:45:54+00:00,eventide strives to honor god and serve its clients by investing in companies that create compelling value for the global common good. ,oldlife
2020-01-07 02:36:39+00:00,"iran, if youre listening, can you hack trumps twitter account? it would contribute to the global common good. ",TarynStanford
2020-01-05 11:59:01+00:00,"we nigerians celebrate her achievements and accomplishments. she deserves the honor bestowed on her. i wish other distinguished women in the corridors of power, will emulate her passion for global common good and not petty personal interests.",nsbfrank5
2020-01-01 15:47:52+00:00,"professor, your tweets are divisive. instead, what’s your position on global poverty? isn’t it the same as donald trump’s or nancy pelosi’s? also, can you please explain why shiites hate sunni’s and vice versa? consider using your rhetorical power for the global common good, no?",JimWilliamsUSA
2019-12-24 02:26:34+00:00,"@asymmetricinfo had a wonderful column about how the us military has become a global common good. i cant find it, tho",llcthecableguy
2019-12-23 12:51:09+00:00,"i dont think thats relevant to what ive said. but lets examine this more sharply. does the common good of all men precede the common good of a nation? in other words, must a global government ensure the global common good primarily before nations may seek their common good?",Integral_Muck
2019-12-18 11:13:27+00:00,"i almost fell for some holocaust set up with the trash incinerator comment to write an essay for the global common good of cleaning up and going green, but it may have been premature, so i withheld for the moment and gathered more intel to make it make more sense.",ElfbookAnon
2019-12-18 02:17:09+00:00,the preeminent goal of working for the global common good cannot be aside for nationalism because of unjust global systems. we must transform these systems through a revolution of solidarity. ,SolidarityRev
2019-12-16 15:41:50+00:00,"- the rulebook would contain the processes, guidelines and institutions for the implementation of the paris agreement however developed countries prioritised their national interests over global common good and failed the world in finding a robust way forward - 2/4",CANSouthAsia
2019-12-08 17:20:12+00:00,"our elders have been sustaining us alive even at their cost of their lives in a world of nationalist, family and individual narcissism. listen to their words now. the seduction of empire is not the way for the global common good. ",agathang1
2019-12-05 17:43:02+00:00,i am not sure how embarrassment is computed but it certainly depends on more than just overall change to the global common good (or something). something with only trivial impact can still be maximally embarrassing imo.,weak_thinker
2019-11-26 13:53:10+00:00,"@2019igf chancellor merkel explains that we should protect the internet as a global common good, stressing that compartmentalization of the internet undermines digital sovereignty. ",GERDigitalEnvoy
2019-11-21 17:50:47+00:00,rt rye_sus: jki_bund bmel ipkgatersleben croptrust executive director marie haga called for a more stringent use of genebanks to make genetic diversity as a global common good available to farmers and the society. global partnerships in pre-breeding necessary to unlock the potent,Florilege_RARe
2019-11-21 17:40:54+00:00,@croptrust executive director marie haga called for a more stringent use of genebanks to make genetic diversity as a global common good available to farmers and the society. global partnerships in pre-breeding necessary to unlock the potential of . ,RYE_SUS
2019-11-17 21:11:25+00:00,"i have read the speech a few times and can find no ""futures thinking"" - it is a tepid response to crises & lacks leadership overtones - where does he embrace the global common good, target the poor as a priority, where is he an advocate for francis reforms? disappointing.... ",newob88
2019-11-08 06:19:29+00:00,thursday in started with s. bauer (@die_gdi) presenting the concept of and asking if @esg_project would benefit from a normative ontology based on pursuing it. fundamental question: can there be a shared collective understanding of global common good?,UEP_group
2019-11-07 21:46:31+00:00,"is good governance of the anthropocene *the* global common good?? wish i was in oaxaca, sound fantastic. was a couple of years ago. ",mtbsmile
2019-11-07 17:31:50+00:00,thanks @die_gdi @institutomora global common good earth sustainable governance ,citlaliayala
2019-11-07 16:59:26+00:00,’global common good’ or ’collective welfare’ or ’resource stocks’ - interesting debate on terms at @die_gdi semi-plenary. ,ESG_Project
2019-11-07 16:38:21+00:00,"semi-plenary hosted by @die_gdi on esg and the pursuit of the global common good, raising questions about shared understanding and lack thereof, with steffen bauer, @clarabrandi @aartigupta17 and ayala martinez citlali. ",ESG_Project
2019-11-07 16:37:17+00:00,"acknowledging that ‘shared understanding’ is illusive, don’t we need a normative yardstick if a global common good to make progrsss? ",rini_rants
2019-11-07 16:08:07+00:00,".@aartigupta17 if we cannot agree on what is ‘the’ major crisis - climate, inequality etc - then where does that leave us in discussions about a ‘global common good’? ",rini_rants
2019-11-07 15:58:05+00:00,"ahora mismo en semiplenaria del , steffen bauer introduciendo el concepto de bien común global. right now, at our semi-plenary, steffen bauer on an introduction to the concept of global common good. @die_gdi @esg_project",susmai_unam
2019-11-07 15:49:42+00:00,@die_gdi explores the concept of global common good at the earth system governance conference. researcher steffen bauer key note speaker ,citlaliayala
2019-11-07 15:44:06+00:00,"semiplenary „earth system governance and the pursuit of the global common good“ starts now hosted by ⁦@die_gdi⁩ with steffen bauer, ⁦@clarabrandi d stevis a citlali ⁩ ⁦and @aartigupta17⁩ of ⁦@enpwageningen⁩",FHBBiermann
2019-11-07 15:13:03+00:00,coincidentally there is also a great semi plenary on “earth system governance and the pursuit of the global common good” cohosted by @die_gdi,sanderchan
2019-11-04 17:58:29+00:00,"join us tonight for the 2019 koch lecture: david hollenbach, s.j.--the global common good in a world of rising nationalism--11.4, 7:30 gorecki 204 (csb)",CSBSJUTHEO
2019-11-03 03:54:55+00:00,"we hope you will enjoy watching america show a corrupt, racist, predatory official like trump that he is a disgrace to our country and a detriment to the global common good. we look forward to working with you to improve our world together after we oust this sociopathic criminal. ",pjdubyer
2019-10-29 16:24:13+00:00,"eu uges peaceful use of on an equitable basis, as a global common good. stresses confidence and transparency building measures ",RCW_
2019-10-24 18:52:32+00:00,"the global common good approach is, by definition, not state-centric. it transcends states and thereby softens the contest on sovereignty. this may seem idealistic and unrealistic, but it is not. @johnthornhillft @edwinbendyk @j_swiatkowska @wojciechklicki ",bezsens_999999
2019-10-24 11:10:06+00:00,"catholic social teaching values political participation. citizenship and the care for the national common good are important - but they can never be totalizing or eliminate the responsibility to participate in the global common good, membership in the one human family.",DrClarkM1
2019-10-24 11:10:04+00:00,"a vision such as that does not take seriously enough that we seek a universal or global common good, that we are one human family. in fact, far from upholding subsidiarity it violates it. national interests must be in proper relationship to both the local and global common good.",DrClarkM1
